num,town_name,town_id,lat,lon
1,南岗,nangang,45.73,126.65
2,松北,songbei,45.8,126.51
3,前进镇,qianjin,47.4,126.82
4,共合镇,gonghe,47.39,126.63
5,永和镇,yonghe,47.44,126.6
6,联发镇,lianfa,47.32,126.51
7,东风镇,dongfeng,47.41,127.11
8,乐业乡,leye,47.34,126.95
9,福民乡,fumin,47.16,126.71
10,海兴镇,haixing,47.19,126.67
11,向荣镇,xiangrong,47.51,126.82
12,伦河镇,lunhe,47.15,126.44
13,共荣镇,gongrong,47.17,126.86
14,双录乡,shuanglu,47.63,127.06
15,爱民乡,aimin,47.59,126.69
16,百祥镇,baixiang,47.22,126.46
17,东林镇,donglin,47.51,127.03
18,丰山乡,fengshan,47.17,126.57
19,海北镇,haibei,47.66,126.85
20,海伦农场,hlnc,47.72,127.15
21,海伦镇,hailun,47.46,126.97
22,海南乡,hainan,47.24,126.99
23,红光农场,hgnc,47.59,127.23
24,祥富镇,xiangfu,47.27,126.78
25,永富镇,yongfu,47.05,126.44
26,扎音河乡,zhayinhe,47.65,126.97
27,长发镇,changfa,47.54,126.94
